state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
checked,S,DART: A Diffusion-Based Autoregressive Motion Model for Real-Time Text-Driven Motion Control,ICLR 2025,https://zkf1997.github.io/DART/,https://arxiv.org/pdf/2410.05260.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICLR_2025/2025_DART_A_Diffusion_Based_Autoregressive_Motion_Model_for_Real_Time_Text_Driven_Motion_Control.pdf
checked,S,MoMask: Generative Masked Modeling of 3D Human Motions,CVPR 2024,https://ericguo5513.github.io/momask/,https://arxiv.org/pdf/2312.00063.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/CVPR_2024/2024_MoMask_Generative_Masked_Modeling_of_3D_Human_Motions.pdf
checked,S,OmniControl: Control Any Joint at Any Time for Human Motion Generation,ICLR 2024,https://neu-vi.github.io/omnicontrol/,https://arxiv.org/pdf/2310.08580.pdf,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICLR_2024/2024_OmniControl_Control_Any_Joint_at_Any_Time_for_Human_Motion_Generation.pdf
checked,S,ReactDance: Hierarchical Representation for High-Fidelity and Coherent Long-Form Reactive Dance Generation,ICLR 2026,https://arxiv.org/abs/2505.05589,https://ripemangobox.github.io/ReactDance,Motion_Generation_Text_Speech_Music_Driven,paperPDFs/Motion_Generation_Text_Speech_Music_Driven/ICLR_2026/2026_ReactDance_Hierarchical_Representation_for_High_Fidelity_and_Coherent_Long_Form_Reactive_Dance_Generation.pdf
checked,S,Variation-aware Flexible 3D Gaussian Editing,ICLR 2026,https://qinbaigao.github.io/VF-Editor-project-page/,https://arxiv.org/pdf/2602.11638.pdf,3DGS_Editing,paperPDFs/3DGS_Editing/ICLR_2026/2026_Variation_aware_Flexible_3D_Gaussian_Editing.pdf
checked,S,Instruct-4DGS: Efficient Dynamic Scene Editing via 4D Gaussian-based Static-Dynamic Separation,CVPR 2025,https://hanbyelcho.info/instruct-4dgs/,https://arxiv.org/pdf/2502.02091.pdf,4DGS_Editing,paperPDFs/4DGS_Editing/CVPR_2025/2025_Instruct_4DGS_Efficient_Dynamic_Scene_Editing_via_4D_Gaussian_based_Static_Dynamic_Separation.pdf
checked,A,CTRL-D: Controllable Dynamic 3D Scene Editing with Personalized 2D Diffusion,CVPR 2025,https://ihe-kaii.github.io/CTRL-D/,https://openaccess.thecvf.com/content/CVPR2025/papers/He_CTRL-D_Controllable_Dynamic_3D_Scene_Editing_with_Personalized_2D_Diffusion_CVPR_2025_paper.pdf,4DGS_Editing,paperPDFs/4DGS_Editing/CVPR_2025/2025_CTRL_D_Controllable_Dynamic_3D_Scene_Editing_with_Personalized_2D_Diffusion.pdf
checked,S,Dynamic-eDiTor: Training-Free Text-Driven 4D Scene Editing with Multimodal Diffusion Transformer,CVPR 2026,https://di-lee.github.io/dynamic-eDiTor/,https://arxiv.org/pdf/2512.00677.pdf,4DGS_Editing,paperPDFs/4DGS_Editing/CVPR_2026/2026_Dynamic_eDiTor_Training_Free_Text_Driven_4D_Scene_Editing_with_Multimodal_Diffusion_Transformer.pdf
checked,A,Mono4DEditor: Text-Driven 4D Scene Editing from Monocular Video via Point-Level Localization of Language-Embedded Gaussians,arXiv 2025,N/A,https://arxiv.org/pdf/2510.09438.pdf,4DGS_Editing,paperPDFs/4DGS_Editing/arXiv_2025/2025_Mono4DEditor_Text_Driven_4D_Scene_Editing_from_Monocular_Video_via_Point_Level_Localization_of_Language_Embedded_Gaussians.pdf
checked,S,4DGS-Craft: Consistent and Interactive 4D Gaussian Splatting Editing,arXiv 2025,N/A,https://arxiv.org/pdf/2510.01991.pdf,4DGS_Editing,paperPDFs/4DGS_Editing/arXiv_2025/2025_4DGS_Craft_Consistent_and_Interactive_4D_Gaussian_Splatting_Editing.pdf
checked,A,4D Gaussian Splatting for Real-Time Dynamic Scene Rendering,CVPR 2024,https://guanjunwu.github.io/4dgs/,https://arxiv.org/pdf/2310.08528.pdf,4DGS_Reconstruction,paperPDFs/4DGS_Reconstruction/CVPR_2024/2024_4D_Gaussian_Splatting_for_Real_Time_Dynamic_Scene_Rendering.pdf
checked,B,Spacetime Gaussian Feature Splatting for Real-Time Dynamic View Synthesis,CVPR 2024,https://oppo-us-research.github.io/SpacetimeGaussians-website/,https://arxiv.org/pdf/2312.16812.pdf,4DGS_Reconstruction,paperPDFs/4DGS_Reconstruction/CVPR_2024/2024_Spacetime_Gaussian_Feature_Splatting_for_Real_Time_Dynamic_View_Synthesis.pdf
checked,S,MoSca: Dynamic Gaussian Fusion from Casual Videos via 4D Motion Scaffolds,CVPR 2025,https://www.cis.upenn.edu/~leijh/projects/mosca,https://arxiv.org/pdf/2405.17421.pdf,4DGS_Reconstruction,paperPDFs/4DGS_Reconstruction/CVPR_2025/2025_MoSca_Dynamic_Gaussian_Fusion_from_Casual_Videos_via_4D_Motion_Scaffolds.pdf
checked,S,Feature4X: Bridging Any Monocular Video to 4D Agentic AI with Versatile Gaussian Feature Fields,CVPR 2025,https://feature4x.github.io/,https://arxiv.org/pdf/2503.20776.pdf,Gaussian_Splatting_Foundation,paperPDFs/Gaussian_Splatting_Foundation/CVPR_2025/2025_Feature4X_Bridging_Any_Monocular_Video_to_4D_Agentic_AI_with_Versatile_Gaussian_Feature_Fields.pdf
checked,S,SC-GS: Sparse-Controlled Gaussian Splatting for Editable Dynamic Scenes,CVPR 2024,https://github.com/CVMI-Lab/SC-GS,https://arxiv.org/pdf/2312.14937.pdf,4DGS_Reconstruction,paperPDFs/4DGS_Reconstruction/CVPR_2024/2024_SC_GS_Sparse_Controlled_Gaussian_Splatting_for_Editable_Dynamic_Scenes.pdf
checked,A,GaussianEditor: Swift and Controllable 3D Editing with Gaussian Splatting,CVPR 2024,https://buaacyw.github.io/gaussian-editor/,https://openaccess.thecvf.com/content/CVPR2024/papers/Chen_GaussianEditor_Swift_and_Controllable_3D_Editing_with_Gaussian_Splatting_CVPR_2024_paper.pdf,3DGS_Editing,paperPDFs/3DGS_Editing/CVPR_2024/2024_GaussianEditor_Swift_and_Controllable_3D_Editing_with_Gaussian_Splatting.pdf
